                   t               x1(t)               x2(t)           DeltaX(t)
  9.8333333333333E-01 -9.0166666666667E+00 -7.3319928850210E+00  1.6846737816457E+00
  9.9166666666667E-01 -9.0083333333333E+00 -7.4241569848728E+00  1.5841763484606E+00
  1.0000000000000E+00 -9.0000000000000E+00 -7.5162581964041E+00  1.4837418035959E+00
  1.0083333333333E+00 -8.9916666666667E+00 -7.6082965719999E+00  1.3833700946668E+00
  1.0166666666667E+00 -8.9833333333333E+00 -7.7002721640017E+00  1.2830611693316E+00
  1.0250000000000E+00 -8.9750000000000E+00 -7.7921850247074E+00  1.1828149752926E+00
  1.0333333333333E+00 -8.9666666666667E+00 -7.8840352063714E+00  1.0826314602953E+00
  1.0416666666667E+00 -8.9583333333333E+00 -7.9758227612043E+00  9.8251057212906E-01
  1.0500000000000E+00 -8.9500000000000E+00 -8.0675477413734E+00  8.8245225862656E-01
  1.0583333333333E+00 -8.9416666666667E+00 -8.1592101990027E+00  7.8245646766398E-01
  1.0666666666667E+00 -8.9333333333333E+00 -8.2508101861725E+00  6.8252314716088E-01
  1.0750000000000E+00 -8.9250000000000E+00 -8.3423477549197E+00  5.8265224508027E-01
  1.0833333333333E+00 -8.9166666666667E+00 -8.4338229572383E+00  4.8284370942841E-01
  1.0916666666667E+00 -8.9083333333333E+00 -8.5252358450784E+00  3.8309748825496E-01
  1.1000000000000E+00 -8.9000000000000E+00 -8.6165864703472E+00  2.8341352965282E-01
  1.1083333333333E+00 -8.8916666666667E+00 -8.7078748849085E+00  1.8379178175812E-01
  1.1166666666667E+00 -8.8833333333333E+00 -8.7991011405831E+00  8.4232192750207E-02
  1.1250000000000E+00 -8.8750000000000E+00 -8.8902652891484E+00 -1.5265289148431E-02
  1.1333333333333E+00 -8.8666666666667E+00 -8.9813673823388E+00 -1.1470071567216E-01
  1.1416666666667E+00 -8.8583333333333E+00 -9.0724074718456E+00 -2.1407413851222E-01
  1.1500000000000E+00 -8.8500000000000E+00 -9.1633856093169E+00 -3.1338560931687E-01
  1.1583333333333E+00 -8.8416666666667E+00 -9.2543018463579E+00 -4.1263517969125E-01
  1.1666666666667E+00 -8.8333333333333E+00 -9.3451562345309E+00 -5.1182290119762E-01
  1.1750000000000E+00 -8.8250000000000E+00 -9.4359488253552E+00 -6.1094882535521E-01
  1.1833333333333E+00 -8.8166666666667E+00 -9.5266796703070E+00 -7.1001300364033E-01
